Year,SERIES,UNIT_MEASURE,Value
2003,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,61.594190000000005
2004,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,63.427659999999996
2005,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,67.1423
2006,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,178.23305
2007,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,198.03677
2012,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,160.13994
2013,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,233.86737999999997
2014,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,292.38061
2015,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,365.22839
2016,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,419.99062999999995
2017,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,485.42082
2018,Istraživači (u ekvivalentu punog radnog vremena) na milijun stanovnika,Na milijun stanovnika,471.2501
