Year,Value,UNIT_MEASURE,SERIES
2000,52,Procenat,EG_EGY_CLEAN
2001,51,Procenat,EG_EGY_CLEAN
2002,51,Procenat,EG_EGY_CLEAN
2003,50,Procenat,EG_EGY_CLEAN
2004,50,Procenat,EG_EGY_CLEAN
2005,49,Procenat,EG_EGY_CLEAN
2006,48,Procenat,EG_EGY_CLEAN
2007,47,Procenat,EG_EGY_CLEAN
2008,46,Procenat,EG_EGY_CLEAN
2009,45,Procenat,EG_EGY_CLEAN
2010,44,Procenat,EG_EGY_CLEAN
2011,44,Procenat,EG_EGY_CLEAN
2012,44,Procenat,EG_EGY_CLEAN
2013,43,Procenat,EG_EGY_CLEAN
2014,43,Procenat,EG_EGY_CLEAN
2015,45,Procenat,EG_EGY_CLEAN
2016,44,Procenat,EG_EGY_CLEAN
2017,44,Procenat,EG_EGY_CLEAN
2018,45,Procenat,EG_EGY_CLEAN
