Year,Value,UNIT_MEASURE,SERIES
2000,11865,Procenat,SM_POP_REFG_OR
2001,10643,Procenat,SM_POP_REFG_OR
2002,9757,Procenat,SM_POP_REFG_OR
2003,7385,Procenat,SM_POP_REFG_OR
2004,5730,Procenat,SM_POP_REFG_OR
2005,2837,Procenat,SM_POP_REFG_OR
2006,5042,Procenat,SM_POP_REFG_OR
2007,2038,Procenat,SM_POP_REFG_OR
2008,1942,Procenat,SM_POP_REFG_OR
2009,1839,Procenat,SM_POP_REFG_OR
2010,1672,Procenat,SM_POP_REFG_OR
2011,1575,Procenat,SM_POP_REFG_OR
2012,1417,Procenat,SM_POP_REFG_OR
2013,750,Procenat,SM_POP_REFG_OR
2014,625,Procenat,SM_POP_REFG_OR
2015,544,Procenat,SM_POP_REFG_OR
2016,534,Procenat,SM_POP_REFG_OR
2017,525,Procenat,SM_POP_REFG_OR
2018,508,Procenat,SM_POP_REFG_OR
2019,499,Procenat,SM_POP_REFG_OR
