Year,Value,UNIT_MEASURE,SERIES
2005,113.76155,konstantni američki dolari,DC_TOF_TRDCML
2006,196.89985,konstantni američki dolari,DC_TOF_TRDCML
2007,154.94478,konstantni američki dolari,DC_TOF_TRDCML
2008,134.03715,konstantni američki dolari,DC_TOF_TRDCML
2009,212.13171,konstantni američki dolari,DC_TOF_TRDCML
2010,232.27405,konstantni američki dolari,DC_TOF_TRDCML
2011,225.82849,konstantni američki dolari,DC_TOF_TRDCML
2012,218.08434,konstantni američki dolari,DC_TOF_TRDCML
2013,448.30314000000004,konstantni američki dolari,DC_TOF_TRDCML
2014,525.51593,konstantni američki dolari,DC_TOF_TRDCML
2015,78.26739,konstantni američki dolari,DC_TOF_TRDCML
2016,62.933009999999996,konstantni američki dolari,DC_TOF_TRDCML
2017,206.46492,konstantni američki dolari,DC_TOF_TRDCML
2018,171.81998000000002,konstantni američki dolari,DC_TOF_TRDCML
2006,74.98621,konstantni američki dolari,DC_TOF_TRDDBML
2007,88.84701,konstantni američki dolari,DC_TOF_TRDDBML
2008,114.77843,konstantni američki dolari,DC_TOF_TRDDBML
2009,99.74611,konstantni američki dolari,DC_TOF_TRDDBML
2010,121.37097,konstantni američki dolari,DC_TOF_TRDDBML
2011,290.97038,konstantni američki dolari,DC_TOF_TRDDBML
2012,310.8811,konstantni američki dolari,DC_TOF_TRDDBML
2013,245.7912,konstantni američki dolari,DC_TOF_TRDDBML
2014,247.10757,konstantni američki dolari,DC_TOF_TRDDBML
2015,155.02131,konstantni američki dolari,DC_TOF_TRDDBML
2016,227.59102000000001,konstantni američki dolari,DC_TOF_TRDDBML
2017,229.27011000000002,konstantni američki dolari,DC_TOF_TRDDBML
2018,204.39546,konstantni američki dolari,DC_TOF_TRDDBML
