Year,Value,UNIT_MEASURE,SERIES
2000,9.0118,Američki dolar,DC_TOF_HLTHL
2001,5.3438300000000005,Američki dolar,DC_TOF_HLTHL
2002,5.43791,Američki dolar,DC_TOF_HLTHL
2003,9.14858,Američki dolar,DC_TOF_HLTHL
2004,4.5776900000000005,Američki dolar,DC_TOF_HLTHL
2005,4.83248,Američki dolar,DC_TOF_HLTHL
2006,18.164820000000002,Američki dolar,DC_TOF_HLTHL
2007,11.42505,Američki dolar,DC_TOF_HLTHL
2008,6.98618,Američki dolar,DC_TOF_HLTHL
2009,2.6198099999999998,Američki dolar,DC_TOF_HLTHL
2010,7.80168,Američki dolar,DC_TOF_HLTHL
2011,6.04845,Američki dolar,DC_TOF_HLTHL
2012,6.62092,Američki dolar,DC_TOF_HLTHL
2013,5.5622,Američki dolar,DC_TOF_HLTHL
2014,10.998330000000001,Američki dolar,DC_TOF_HLTHL
2015,5.19602,Američki dolar,DC_TOF_HLTHL
2016,37.98346,Američki dolar,DC_TOF_HLTHL
2017,36.070859999999996,Američki dolar,DC_TOF_HLTHL
2018,13.08596,Američki dolar,DC_TOF_HLTHL
