Year,SERIES,UNIT_MEASURE,Godine,Spol,Value
2001,SI_POV_EMP1,Procenat,15 godina i više,Oba spola ili bez podjele po spolu,0.1
2004,SI_POV_EMP1,Procenat,15 godina i više,Oba spola ili bez podjele po spolu,0.1
2007,SI_POV_EMP1,Procenat,15 godina i više,Oba spola ili bez podjele po spolu,0.0
2011,SI_POV_EMP1,Procenat,15 godina i više,Oba spola ili bez podjele po spolu,0.0
2001,SI_POV_EMP1,Procenat,15 godina i više,Žene,0.1
2004,SI_POV_EMP1,Procenat,15 godina i više,Žene,0.1
2007,SI_POV_EMP1,Procenat,15 godina i više,Žene,0.0
2011,SI_POV_EMP1,Procenat,15 godina i više,Žene,0.0
2001,SI_POV_EMP1,Procenat,15 godina i više,Muškarci,0.1
2004,SI_POV_EMP1,Procenat,15 godina i više,Muškarci,0.0
2007,SI_POV_EMP1,Procenat,15 godina i više,Muškarci,0.0
2011,SI_POV_EMP1,Procenat,15 godina i više,Muškarci,0.0
2001,SI_POV_EMP1,Procenat,15 do 24 godine,Oba spola ili bez podjele po spolu,0.1
2004,SI_POV_EMP1,Procenat,15 do 24 godine,Oba spola ili bez podjele po spolu,0.1
2007,SI_POV_EMP1,Procenat,15 do 24 godine,Oba spola ili bez podjele po spolu,0.0
2011,SI_POV_EMP1,Procenat,15 do 24 godine,Oba spola ili bez podjele po spolu,0.0
2001,SI_POV_EMP1,Procenat,15 do 24 godine,Žene,0.1
2004,SI_POV_EMP1,Procenat,15 do 24 godine,Žene,0.1
2007,SI_POV_EMP1,Procenat,15 do 24 godine,Žene,0.0
2011,SI_POV_EMP1,Procenat,15 do 24 godine,Žene,0.0
2001,SI_POV_EMP1,Procenat,15 do 24 godine,Muškarci,0.1
2004,SI_POV_EMP1,Procenat,15 do 24 godine,Muškarci,0.1
2007,SI_POV_EMP1,Procenat,15 do 24 godine,Muškarci,0.0
2011,SI_POV_EMP1,Procenat,15 do 24 godine,Muškarci,0.0
2001,SI_POV_EMP1,Procenat,25 godina i više,Oba spola ili bez podjele po spolu,0.1
2004,SI_POV_EMP1,Procenat,25 godina i više,Oba spola ili bez podjele po spolu,0.0
2007,SI_POV_EMP1,Procenat,25 godina i više,Oba spola ili bez podjele po spolu,0.0
2011,SI_POV_EMP1,Procenat,25 godina i više,Oba spola ili bez podjele po spolu,0.0
2001,SI_POV_EMP1,Procenat,25 godina i više,Žene,0.1
2004,SI_POV_EMP1,Procenat,25 godina i više,Žene,0.1
2007,SI_POV_EMP1,Procenat,25 godina i više,Žene,0.0
2011,SI_POV_EMP1,Procenat,25 godina i više,Žene,0.0
2001,SI_POV_EMP1,Procenat,25 godina i više,Muškarci,0.1
2004,SI_POV_EMP1,Procenat,25 godina i više,Muškarci,0.0
2007,SI_POV_EMP1,Procenat,25 godina i više,Muškarci,0.0
2011,SI_POV_EMP1,Procenat,25 godina i više,Muškarci,0.0
2001,SI_POV_DAY1,Procenat,,,0.0
2004,SI_POV_DAY1,Procenat,,,0.0
2007,SI_POV_DAY1,Procenat,,,0.0
2011,SI_POV_DAY1,Procenat,,,0.0
