Year,Units,Value
2001,Na 100 stanovnika,1.083
2002,Na 100 stanovnika,1.2009999999999998
2003,Na 100 stanovnika,2.648
2004,Na 100 stanovnika,3.965
2005,Na 100 stanovnika,15.469000000000001
2006,Na 100 stanovnika,21.326999999999998
2007,Na 100 stanovnika,25.122
2008,Na 100 stanovnika,27.92
2009,Na 100 stanovnika,34.66
2010,Na 100 stanovnika,37.74
2011,Na 100 stanovnika,42.75
2012,Na 100 stanovnika,43.888000000000005
2013,Na 100 stanovnika,45.065
2014,Na 100 stanovnika,48.521
2015,Na 100 stanovnika,49.918
2016,Na 100 stanovnika,52.6
2017,Na 100 stanovnika,60.257
2018,Na 100 stanovnika,64.892
2019,Na 100 stanovnika,70.12
