Year,Series,Spol,Value
2000,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,1.04736
2001,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,1.5173299999999998
2002,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,1.3068899999999999
2009,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,0.789
2010,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,0.5302399999999999
2011,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,0.85845
2012,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,1.30739
2013,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,0.77581
2014,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,0.61995
2015,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,1.0297399999999999
2016,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,0.86879
2017,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,0.58505
2018,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Ženski,0.47181999999999996
2000,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,4.28972
2001,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,2.87378
2002,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,3.52028
2009,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,3.0521
2010,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,2.52812
2011,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,1.9473
2012,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,2.20433
2013,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,1.84115
2014,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,2.28369
2015,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,2.31957
2016,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,1.8075299999999999
2017,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,1.94852
2018,"Broj žrtava ubistava s namjerom na 100.000 stanovnika, prema polu (žrtve na 100.000 stanovnika)",Muški,1.9037400000000002
2000,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,20.0
2001,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,29.0
2002,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,25.0
2009,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,15.0
2010,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,10.0
2011,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,16.0
2012,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,24.0
2013,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,14.0
2014,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,11.0
2015,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,18.0
2016,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,15.0
2017,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,10.0
2018,"Broj žrtava ubistava s namjerom, po polu (broj)",Ženski,8.0
2000,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,79.0
2001,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,53.0
2002,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,65.0
2009,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,56.0
2010,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,46.0
2011,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,35.0
2012,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,39.0
2013,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,32.0
2014,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,39.0
2015,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,39.0
2016,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,30.0
2017,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,32.0
2018,"Broj žrtava ubistava s namjerom, po polu (broj)",Muški,31.0
