Year,SERIES,UNIT_MEASURE,Spol,Godine,COMPOSITE_BREAKDOWN,Value
2020,SG_DMK_PARLCC_LC,Broj,Nije dostupno,Nije dostupno,Odbrana,0.0
2020,SG_DMK_PARLCC_LC,Broj,Nije dostupno,Nije dostupno,Ljudska prava,0.0
2020,SG_DMK_PARLCC_LC,Broj,Muškarci,46 godina i više,Finansije,1.0
2020,SG_DMK_PARLCC_LC,Broj,Muškarci,46 godina i više,Vanjski poslovi,1.0
2020,SG_DMK_PARLCC_LC,Broj,Muškarci,46 godina i više,Ravnopravnost spolova,1.0
2020,SG_DMK_PARLCC_UC,Broj,Nepoznato,Nepoznato,Odbrana,1.0
2020,SG_DMK_PARLCC_UC,Broj,Nepoznato,Nepoznato,Finansije,1.0
2020,SG_DMK_PARLCC_UC,Broj,Nepoznato,Nepoznato,Vanjski poslovi,1.0
2020,SG_DMK_PARLCC_UC,Broj,Nepoznato,Nepoznato,Ravnopravnost spolova,1.0
2020,SG_DMK_PARLCC_UC,Broj,Nepoznato,Nepoznato,Ljudska prava,1.0
2020,SG_DMK_PARLSP_LC,Broj,Žene,46 godina i više,,1.0
2020,SG_DMK_PARLSP_LC,Broj,Muškarci,46 godina i više,,2.0
2020,SG_DMK_PARLSP_UC,Broj,Muškarci,46 godina i više,,3.0
2020,SG_DMK_PARLMP_LC,Odnos,,,,0.41605632000319737
2020,SG_DMK_PARLMP_UC,Odnos,,,,0.38829334577993213
