Year,SERIES,UNIT_MEASURE,Value
2014,Reciklaža elektronskog otpada (tone),Tone,1108.73
2015,Reciklaža elektronskog otpada (tone),Tone,1157.02
2016,Reciklaža elektronskog otpada (tone),Tone,1197.58
2017,Reciklaža elektronskog otpada (tone),Tone,1237.93
2018,Reciklaža elektronskog otpada (tone),Tone,1271.2
2019,Reciklaža elektronskog otpada (tone),Tone,1310.05
2014,"Reciklaža elektronskog otpada, po stanovniku (Kg)",Kilogrami,0.318407021497909
2015,"Reciklaža elektronskog otpada, po stanovniku (Kg)",Kilogrami,0.337387641782932
2016,"Reciklaža elektronskog otpada, po stanovniku (Kg)",Kilogrami,0.353658566094836
2017,"Reciklaža elektronskog otpada, po stanovniku (Kg)",Kilogrami,0.36936262469663106
2018,"Reciklaža elektronskog otpada, po stanovniku (Kg)",Kilogrami,0.382439398976331
2019,"Reciklaža elektronskog otpada, po stanovniku (Kg)",Kilogrami,0.39686557974285297
2014,"Reciklaža elektronskog otpada, stopa (%)",Procenat,4.799937
