Year,SERIES,UNIT_MEASURE,Spol,Value
2006,SE_ADT_EDUCTRN,Procenat,Oba spola ili bez podjele po spolu,2.1777810169107
2007,SE_ADT_EDUCTRN,Procenat,Oba spola ili bez podjele po spolu,2.15766816184931
2008,SE_ADT_EDUCTRN,Procenat,Oba spola ili bez podjele po spolu,2.13075550414031
2009,SE_ADT_EDUCTRN,Procenat,Oba spola ili bez podjele po spolu,1.90901995619569
2010,SE_ADT_EDUCTRN,Procenat,Oba spola ili bez podjele po spolu,2.11272856926009
2011,SE_ADT_EDUCTRN,Procenat,Oba spola ili bez podjele po spolu,2.18183738605587
2012,SE_ADT_EDUCTRN,Procenat,Oba spola ili bez podjele po spolu,2.23761247360216
2014,SE_ADT_EDUCTRN,Procenat,Oba spola ili bez podjele po spolu,1.74418466019195
2016,SE_ADT_EDUCTRN,Procenat,Oba spola ili bez podjele po spolu,8.7
2006,SE_ADT_EDUCTRN,Procenat,Žene,2.0255740878644897
2007,SE_ADT_EDUCTRN,Procenat,Žene,2.0353860569723503
2008,SE_ADT_EDUCTRN,Procenat,Žene,2.15464335032623
2010,SE_ADT_EDUCTRN,Procenat,Žene,2.15464335032623
2011,SE_ADT_EDUCTRN,Procenat,Žene,2.13504427950971
2012,SE_ADT_EDUCTRN,Procenat,Žene,2.30169416008625
2016,SE_ADT_EDUCTRN,Procenat,Žene,8.5
2006,SE_ADT_EDUCTRN,Procenat,Muškarci,2.29240964139863
2007,SE_ADT_EDUCTRN,Procenat,Muškarci,2.28262612897082
2008,SE_ADT_EDUCTRN,Procenat,Muškarci,2.02113648312372
2010,SE_ADT_EDUCTRN,Procenat,Muškarci,2.17342238173644
2011,SE_ADT_EDUCTRN,Procenat,Muškarci,2.15668454559366
2012,SE_ADT_EDUCTRN,Procenat,Muškarci,2.1729701042014797
2016,SE_ADT_EDUCTRN,Procenat,Muškarci,8.9
