Year,Value,UNIT_MEASURE,SERIES
2000,54.049403667562295,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2001,65.07871304080629,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2002,51.5190348825523,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2003,58.7375213456581,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2004,59.5254449010301,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2005,61.912742893894,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2006,60.7730615475189,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2007,61.284708589615796,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2008,51.800986165646705,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2009,52.8860411982102,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2010,49.707368149003706,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2011,46.670917605577095,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2012,44.053109343285,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2013,46.22966161950829,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2014,46.138343168112705,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2015,44.03978050924629,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2016,44.0938567313618,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2017,44.309757521127395,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2018,44.6595444498472,Postotak,Likvidna imovina na kratkoročnim obvezama (%)
2000,0.0,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2001,0.0,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2002,0.0,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2003,42.1821411110154,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2004,11.555883494208699,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2005,8.28096322435092,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2006,8.86905149119733,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2007,5.89756294023394,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2008,6.2230590329163595,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2009,1.6983681988869501,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2010,4.36946617542722,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2011,15.985010797193901,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2012,5.34710950449262,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2013,6.69157732243825,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2014,10.232227266882,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2015,8.970821380820508,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2016,1.6966661563472802,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2017,-0.22757156549238197,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2018,2.2410250402879797,Postotak,Neto otvorena pozicija u devizama do kapitala (%)
2000,32.4693389054788,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2001,37.6090647205685,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2002,27.514714500471396,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2003,25.200873982285,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2004,19.494333340705303,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2005,20.415840577499896,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2006,15.3083015592223,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2007,12.9598497952939,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2008,13.8901872212992,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2009,25.464485699359102,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2010,42.009689201385996,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2011,25.9173608461831,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2012,30.0463912520826,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2013,30.9744996912242,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2014,27.922027925918602,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2015,26.8841920515272,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2016,18.4798679001815,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2017,14.3545245961634,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2018,12.1460435458492,Postotak,Neto krediti određeni za kapital koji se ne izvode (%)
2000,21.215964833505,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
2001,17.9071007297324,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
2002,11.017219625819399,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
2003,8.38582572565641,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
2004,6.07354427319199,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
2005,5.27605366757593,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
2006,3.9987615025115497,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
2007,3.01859191826486,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
2008,3.0912079422106498,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
2009,5.871207251876299,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
2010,11.421782175376,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
2011,11.7997140822193,Postotak,Krediti u ukupnim bruto kreditima koji se ne izvode (%)
