Year,Value,Units
2001,1.083,per 100 person
2002,1.2009999999999998,per 100 person
2003,2.648,per 100 person
2004,3.965,per 100 person
2005,15.469000000000001,per 100 person
2006,21.326999999999998,per 100 person
2007,25.122,per 100 person
2008,27.92,per 100 person
2009,34.66,per 100 person
2010,37.74,per 100 person
2011,42.75,per 100 person
2012,43.888000000000005,per 100 person
2013,45.065,per 100 person
2014,48.521,per 100 person
2015,49.918,per 100 person
2016,52.6,per 100 person
2017,60.257,per 100 person
2018,64.892,per 100 person
2019,70.12,per 100 person
