Year,Value,Series
2001,0.1,Broj pothranjenih ljudi (milijuni)
2002,0.1,Broj pothranjenih ljudi (milijuni)
2003,0.1,Broj pothranjenih ljudi (milijuni)
2001,3.2,Rasprostranjenost podhranjenosti (%)
2002,3.1,Rasprostranjenost podhranjenosti (%)
2003,2.7,Rasprostranjenost podhranjenosti (%)
2004,2.5,Rasprostranjenost podhranjenosti (%)
2005,2.5,Rasprostranjenost podhranjenosti (%)
2006,2.5,Rasprostranjenost podhranjenosti (%)
2007,2.5,Rasprostranjenost podhranjenosti (%)
2008,2.5,Rasprostranjenost podhranjenosti (%)
2009,2.5,Rasprostranjenost podhranjenosti (%)
2010,2.5,Rasprostranjenost podhranjenosti (%)
2011,2.5,Rasprostranjenost podhranjenosti (%)
2012,2.5,Rasprostranjenost podhranjenosti (%)
2013,2.5,Rasprostranjenost podhranjenosti (%)
2014,2.5,Rasprostranjenost podhranjenosti (%)
2015,2.5,Rasprostranjenost podhranjenosti (%)
2016,2.5,Rasprostranjenost podhranjenosti (%)
2017,2.5,Rasprostranjenost podhranjenosti (%)
2018,2.5,Rasprostranjenost podhranjenosti (%)
