Year,SERIES,UNIT_MEASURE,Economic activity,Sex,Value
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,89.54726
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,90.8656
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,91.24082
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,91.19395
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,90.3971
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,90.55731
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,90.81430999999999
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,90.94156
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,89.75101
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,89.99401
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,89.89365
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,90.06844
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,88.36454
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,"Agriculture, forestry and fishing",Both sexes or no breakdown by sex,91.25178000000001
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,24.64321
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,23.75937
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,21.15373
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,18.330270000000002
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,18.12443
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,16.328689999999998
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,18.90363
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,17.68838
2014,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,16.82241
2015,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,17.1006
2016,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,17.474610000000002
2017,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,19.11034
2018,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,18.33754
2019,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,Non-agriculture,Both sexes or no breakdown by sex,17.14282
2006,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,37.97401
2007,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,37.05676
2008,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,35.5773
2009,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,33.79404
2010,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,32.35771
2011,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,30.884990000000002
2012,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,33.687090000000005
2013,"Proportion of informal employment, by sector and sex (ILO harmonized estimates)",Percent,No breakdown,Both sexes or no breakdown by sex,31.506490000000003
