Year,SERIES,UNIT_MEASURE,Value
2000,Liquid assets to short term liabilities (%),Percent,54.049403667562295
2001,Liquid assets to short term liabilities (%),Percent,65.07871304080629
2002,Liquid assets to short term liabilities (%),Percent,51.5190348825523
2003,Liquid assets to short term liabilities (%),Percent,58.7375213456581
2004,Liquid assets to short term liabilities (%),Percent,59.5254449010301
2005,Liquid assets to short term liabilities (%),Percent,61.912742893894
2006,Liquid assets to short term liabilities (%),Percent,60.7730615475189
2007,Liquid assets to short term liabilities (%),Percent,61.284708589615796
2008,Liquid assets to short term liabilities (%),Percent,51.800986165646705
2009,Liquid assets to short term liabilities (%),Percent,52.8860411982102
2010,Liquid assets to short term liabilities (%),Percent,49.707368149003706
2011,Liquid assets to short term liabilities (%),Percent,46.670917605577095
2012,Liquid assets to short term liabilities (%),Percent,44.053109343285
2013,Liquid assets to short term liabilities (%),Percent,46.22966161950829
2014,Liquid assets to short term liabilities (%),Percent,46.138343168112705
2015,Liquid assets to short term liabilities (%),Percent,44.03978050924629
2016,Liquid assets to short term liabilities (%),Percent,44.0938567313618
2017,Liquid assets to short term liabilities (%),Percent,44.309757521127395
2018,Liquid assets to short term liabilities (%),Percent,44.6595444498472
2000,Net open position in foreign exchange to capital (%),Percent,0.0
2001,Net open position in foreign exchange to capital (%),Percent,0.0
2002,Net open position in foreign exchange to capital (%),Percent,0.0
2003,Net open position in foreign exchange to capital (%),Percent,42.1821411110154
2004,Net open position in foreign exchange to capital (%),Percent,11.555883494208699
2005,Net open position in foreign exchange to capital (%),Percent,8.28096322435092
2006,Net open position in foreign exchange to capital (%),Percent,8.86905149119733
2007,Net open position in foreign exchange to capital (%),Percent,5.89756294023394
2008,Net open position in foreign exchange to capital (%),Percent,6.2230590329163595
2009,Net open position in foreign exchange to capital (%),Percent,1.6983681988869501
2010,Net open position in foreign exchange to capital (%),Percent,4.36946617542722
2011,Net open position in foreign exchange to capital (%),Percent,15.985010797193901
2012,Net open position in foreign exchange to capital (%),Percent,5.34710950449262
2013,Net open position in foreign exchange to capital (%),Percent,6.69157732243825
2014,Net open position in foreign exchange to capital (%),Percent,10.232227266882
2015,Net open position in foreign exchange to capital (%),Percent,8.970821380820508
2016,Net open position in foreign exchange to capital (%),Percent,1.6966661563472802
2017,Net open position in foreign exchange to capital (%),Percent,-0.22757156549238197
2018,Net open position in foreign exchange to capital (%),Percent,2.2410250402879797
2000,Non-performing loans net of provisions to capital (%),Percent,32.4693389054788
2001,Non-performing loans net of provisions to capital (%),Percent,37.6090647205685
2002,Non-performing loans net of provisions to capital (%),Percent,27.514714500471396
2003,Non-performing loans net of provisions to capital (%),Percent,25.200873982285
2004,Non-performing loans net of provisions to capital (%),Percent,19.494333340705303
2005,Non-performing loans net of provisions to capital (%),Percent,20.415840577499896
2006,Non-performing loans net of provisions to capital (%),Percent,15.3083015592223
2007,Non-performing loans net of provisions to capital (%),Percent,12.9598497952939
2008,Non-performing loans net of provisions to capital (%),Percent,13.8901872212992
2009,Non-performing loans net of provisions to capital (%),Percent,25.464485699359102
2010,Non-performing loans net of provisions to capital (%),Percent,42.009689201385996
2011,Non-performing loans net of provisions to capital (%),Percent,25.9173608461831
2012,Non-performing loans net of provisions to capital (%),Percent,30.0463912520826
2013,Non-performing loans net of provisions to capital (%),Percent,30.9744996912242
2014,Non-performing loans net of provisions to capital (%),Percent,27.922027925918602
2015,Non-performing loans net of provisions to capital (%),Percent,26.8841920515272
2016,Non-performing loans net of provisions to capital (%),Percent,18.4798679001815
2017,Non-performing loans net of provisions to capital (%),Percent,14.3545245961634
2018,Non-performing loans net of provisions to capital (%),Percent,12.1460435458492
2000,Non-performing loans to total gross loans (%),Percent,21.215964833505
2001,Non-performing loans to total gross loans (%),Percent,17.9071007297324
2002,Non-performing loans to total gross loans (%),Percent,11.017219625819399
2003,Non-performing loans to total gross loans (%),Percent,8.38582572565641
2004,Non-performing loans to total gross loans (%),Percent,6.07354427319199
2005,Non-performing loans to total gross loans (%),Percent,5.27605366757593
2006,Non-performing loans to total gross loans (%),Percent,3.9987615025115497
2007,Non-performing loans to total gross loans (%),Percent,3.01859191826486
2008,Non-performing loans to total gross loans (%),Percent,3.0912079422106498
2009,Non-performing loans to total gross loans (%),Percent,5.871207251876299
2010,Non-performing loans to total gross loans (%),Percent,11.421782175376
2011,Non-performing loans to total gross loans (%),Percent,11.7997140822193
2012,Non-performing loans to total gross loans (%),Percent,13.4656882284517
2013,Non-performing loans to total gross loans (%),Percent,15.1198478740683
2014,Non-performing loans to total gross loans (%),Percent,14.1653123764986
2015,Non-performing loans to total gross loans (%),Percent,13.7084158662801
2016,Non-performing loans to total gross loans (%),Percent,11.777719084596301
2017,Non-performing loans to total gross loans (%),Percent,10.046275152463199
2018,Non-performing loans to total gross loans (%),Percent,8.770335479676572
2000,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,26.4758691558612
2001,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,22.3586710421588
2002,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,18.2029212704059
2003,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,15.9222609694411
2004,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,14.9250443993237
2005,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,13.6714789097788
2006,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,13.617048392226401
2007,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,12.5972463295307
2008,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,12.0085239404031
2009,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,12.3948490369898
2010,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,12.640142484609699
2011,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,13.5692695579269
2012,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,14.062592230113802
2013,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,15.234217504719
2014,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,14.3452279119259
2015,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,13.7612358561706
2016,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,15.028388380123598
2017,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,14.767781340475599
2018,Regulatory Tier 1 capital to risk-weighted assets (%),Percent,16.4870496553286
2000,Regulatory capital to assets (%),Percent,20.439232259874
2001,Regulatory capital to assets (%),Percent,14.527655611921501
2002,Regulatory capital to assets (%),Percent,14.3457936836765
2003,Regulatory capital to assets (%),Percent,11.7934618614307
2004,Regulatory capital to assets (%),Percent,10.7372308611601
