Year,Units,Старост,Пол,Value
2001,%,15+,total,0.1
2001,%,15+,Мушки,0.1
2001,%,15+,Женски,0.1
2001,%,15-24,total,0.1
2001,%,15-24,Мушки,0.1
2001,%,15-24,Женски,0.1
2001,%,25+,total,0.1
2001,%,25+,Мушки,0.1
2001,%,25+,Женски,0.1
2004,%,15+,total,0.1
2004,%,15+,Мушки,0.1
2004,%,15+,Женски,0.1
2004,%,15-24,total,0.1
2004,%,15-24,Мушки,0.1
2004,%,15-24,Женски,0.1
2004,%,25+,total,0.1
2004,%,25+,Мушки,0.0
2004,%,25+,Женски,0.1
2007,%,15+,total,0.0
2007,%,15+,Мушки,0.0
2007,%,15+,Женски,0.0
2007,%,15-24,total,0.0
2007,%,15-24,Мушки,0.0
2007,%,15-24,Женски,0.0
2007,%,25+,total,0.0
2007,%,25+,Мушки,0.0
2007,%,25+,Женски,0.0
2011,%,15+,total,0.0
2011,%,15+,Мушки,0.0
2011,%,15+,Женски,0.0
2011,%,15-24,total,0.0
2011,%,15-24,Мушки,0.0
2011,%,15-24,Женски,0.0
2011,%,25+,total,0.0
2011,%,25+,Мушки,0.0
2011,%,25+,Женски,0.0
