Year,Series,Value
2001,Број потхрањених људи (милиони),0.1
2002,Број потхрањених људи (милиони),0.1
2003,Број потхрањених људи (милиони),0.1
2001,Распрострањеност подхрањености (%),3.2
2002,Распрострањеност подхрањености (%),3.1
2003,Распрострањеност подхрањености (%),2.7
2004,Распрострањеност подхрањености (%),2.5
2005,Распрострањеност подхрањености (%),2.5
2006,Распрострањеност подхрањености (%),2.5
2007,Распрострањеност подхрањености (%),2.5
2008,Распрострањеност подхрањености (%),2.5
2009,Распрострањеност подхрањености (%),2.5
2010,Распрострањеност подхрањености (%),2.5
2011,Распрострањеност подхрањености (%),2.5
2012,Распрострањеност подхрањености (%),2.5
2013,Распрострањеност подхрањености (%),2.5
2014,Распрострањеност подхрањености (%),2.5
2015,Распрострањеност подхрањености (%),2.5
2016,Распрострањеност подхрањености (%),2.5
2017,Распрострањеност подхрањености (%),2.5
2018,Распрострањеност подхрањености (%),2.5
