Year,SERIES,UNIT_MEASURE,Ниво образовања,Квантил дохотка или богатства,Пол,COMPOSITE_BREAKDOWN,Степен урбанизације,Value
2000,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Укупно,1.0016399999999999
2006,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Укупно,0.9991899999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Укупно,1.0015100000000001
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 1 (најсиромашнији),,,Укупно,0.9111799999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 2,,,Укупно,1.10629
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 3,,,Укупно,1.02274
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 4,,,Укупно,0.9696799999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 5 (најбогатији),,,Укупно,1.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 1 (најсиромашнији),,,Укупно,0.9940899999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 2,,,Укупно,1.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 3,,,Укупно,1.01929
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 4,,,Укупно,1.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 5 (најбогатији),,,Укупно,1.0
2000,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,,,Укупно,1.0333
2006,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,,,Укупно,1.12687
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Укупно (национални просјек) или без подјеле,,,Укупно,1.00844
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 1 (најсиромашнији),,,Укупно,0.9779399999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 2,,,Укупно,0.9818399999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 3,,,Укупно,1.01683
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 4,,,Укупно,1.03215
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Више средње образовање,Квантил 5 (најбогатији),,,Укупно,0.99224
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Укупно (национални просјек) или без подјеле,,,Рурално,1.00371
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 1 (најсиромашнији),,,Рурално,0.9629700000000001
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 2,,,Рурално,1.08995
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 3,,,Рурално,1.0278200000000002
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 4,,,Рурално,0.9489299999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Ниже средње образовање,Квантил 5 (најбогатији),,,Рурално,0.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Укупно (национални просјек) или без подјеле,,,Рурално,1.005
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 1 (најсиромашнији),,,Рурално,0.9966299999999999
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 2,,,Рурално,1.0
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 3,,,Рурално,1.02204
2012,"Прилагођени индекс родног паритета за стопу завршетка, према полу, локацији, квинтилу богатства и нивоу образовања",Однос,Основно образовање,Квантил 4,,,Рурално,1.0
