Year,SERIES,UNIT_MEASURE,Пол,Занимање,Value
2000,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,14.547
2001,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,14.499
2002,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,14.478
2003,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,14.776
2004,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,15.09
2005,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,15.332
2006,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,15.754000000000001
2007,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,16.429000000000002
2008,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,16.714000000000002
2009,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,17.38
2010,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,17.987000000000002
2011,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,18.794
2012,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,19.49
2013,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,20.355
2014,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,21.326
2015,Густина и дистрибуција здравствених радника,На 10 000 становника,,Доктори медицине,21.616
2000,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,1.013
2001,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,0.932
2002,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,0.99
2003,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,0.965
2004,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,0.978
2005,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,0.879
2006,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,0.9159999999999999
2007,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,0.97
2008,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,0.9640000000000001
2009,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,0.9740000000000001
2010,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,1.001
2011,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,1.071
2012,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,1.171
2013,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,1.2109999999999999
2014,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,1.266
2015,Густина и дистрибуција здравствених радника,На 10 000 становника,,Фармацеути,1.2919999999999998
2000,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,44.687
2001,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,43.968
2002,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,44.663999999999994
2003,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,48.341
2004,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,48.093
2005,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,48.687
2006,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,49.394
2007,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,50.221000000000004
2008,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,51.898
2009,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,53.096000000000004
2010,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,54.867
2011,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,56.085
2012,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,58.92100000000001
2013,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,59.005
2014,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,61.318999999999996
2015,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,61.798
2016,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,54.726000000000006
2017,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,55.647
2018,Густина и дистрибуција здравствених радника,На 10 000 становника,,Медицинско особље и бабице,57.333
2000,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,1.933
2001,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,1.808
2002,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,1.825
2003,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,1.2229999999999999
2004,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,1.9180000000000001
2005,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,1.9180000000000001
2006,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,2.045
2007,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,1.9880000000000002
2008,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,1.795
2009,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,1.82
2010,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,2.151
2011,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,2.207
2012,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,2.427
2013,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,2.2840000000000003
2014,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,2.369
2015,Густина и дистрибуција здравствених радника,На 10 000 становника,,Зубари,2.4
2013,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Медицинско особље,79.5
2014,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Медицинско особље,78.2
2015,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Медицинско особље,78.6
2016,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Медицинско особље,78.2
2017,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Медицинско особље,77.7
2018,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Медицинско особље,77.5
2003,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,90.5
2004,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,91.5
2005,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,91.5
2006,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,90.4
2007,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,89.2
2008,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,89.5
2009,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,88.3
2010,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,88.8
2011,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,88.2
2012,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,87.9
2013,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,87.7
2015,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Жене,Доктори медицине,87.7
2013,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Медицинско особље,20.5
2014,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Медицинско особље,21.8
2015,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Медицинско особље,21.4
2016,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Медицинско особље,21.8
2017,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Медицинско особље,22.3
2018,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Медицинско особље,22.5
2003,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,9.5
2004,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,8.5
2005,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,8.5
2006,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,9.6
2007,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,10.8
2008,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,10.5
2009,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,11.7
2010,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,11.2
2011,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,11.8
2012,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,12.1
2013,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,12.3
2015,"Густина и дистрибуција здравствених радника, према полу и врсти занимања",Проценат,Мушкарци,Доктори медицине,12.3
