Year,SERIES,UNIT_MEASURE,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,SEX,COMPOSITE_BREAKDOWN,URBANISATION,Value
2000,SE_AGP_CPRA,RO,ISCED11_2,_T,,,_T,1.0016399999999999
2006,SE_AGP_CPRA,RO,ISCED11_2,_T,,,_T,0.9991899999999999
2012,SE_AGP_CPRA,RO,ISCED11_2,_T,,,_T,1.0015100000000001
2012,SE_AGP_CPRA,RO,ISCED11_2,Q1,,,_T,0.9111799999999999
2012,SE_AGP_CPRA,RO,ISCED11_2,Q2,,,_T,1.10629
2012,SE_AGP_CPRA,RO,ISCED11_2,Q3,,,_T,1.02274
2012,SE_AGP_CPRA,RO,ISCED11_2,Q4,,,_T,0.9696799999999999
2012,SE_AGP_CPRA,RO,ISCED11_2,Q5,,,_T,1.0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q1,,,_T,0.9940899999999999
2012,SE_AGP_CPRA,RO,ISCED11_1,Q2,,,_T,1.0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q3,,,_T,1.01929
2012,SE_AGP_CPRA,RO,ISCED11_1,Q4,,,_T,1.0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q5,,,_T,1.0
2000,SE_AGP_CPRA,RO,ISCED11_3,_T,,,_T,1.0333
2006,SE_AGP_CPRA,RO,ISCED11_3,_T,,,_T,1.12687
2012,SE_AGP_CPRA,RO,ISCED11_3,_T,,,_T,1.00844
2012,SE_AGP_CPRA,RO,ISCED11_3,Q1,,,_T,0.9779399999999999
2012,SE_AGP_CPRA,RO,ISCED11_3,Q2,,,_T,0.9818399999999999
2012,SE_AGP_CPRA,RO,ISCED11_3,Q3,,,_T,1.01683
2012,SE_AGP_CPRA,RO,ISCED11_3,Q4,,,_T,1.03215
2012,SE_AGP_CPRA,RO,ISCED11_3,Q5,,,_T,0.99224
2012,SE_AGP_CPRA,RO,ISCED11_2,_T,,,R,1.00371
2012,SE_AGP_CPRA,RO,ISCED11_2,Q1,,,R,0.9629700000000001
2012,SE_AGP_CPRA,RO,ISCED11_2,Q2,,,R,1.08995
2012,SE_AGP_CPRA,RO,ISCED11_2,Q3,,,R,1.0278200000000002
2012,SE_AGP_CPRA,RO,ISCED11_2,Q4,,,R,0.9489299999999999
2012,SE_AGP_CPRA,RO,ISCED11_2,Q5,,,R,0.0
2012,SE_AGP_CPRA,RO,ISCED11_1,_T,,,R,1.005
2012,SE_AGP_CPRA,RO,ISCED11_1,Q1,,,R,0.9966299999999999
2012,SE_AGP_CPRA,RO,ISCED11_1,Q2,,,R,1.0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q3,,,R,1.02204
2012,SE_AGP_CPRA,RO,ISCED11_1,Q4,,,R,1.0
2012,SE_AGP_CPRA,RO,ISCED11_1,Q5,,,R,1.0
2012,SE_AGP_CPRA,RO,ISCED11_3,_T,,,R,1.01019
2012,SE_AGP_CPRA,RO,ISCED11_3,Q1,,,R,0.9580299999999999
2012,SE_AGP_CPRA,RO,ISCED11_3,Q2,,,R,0.9557399999999999
2012,SE_AGP_CPRA,RO,ISCED11_3,Q3,,,R,1.02983
2012,SE_AGP_CPRA,RO,ISCED11_3,Q4,,,R,1.02649
