Year,Units,Value
2001,per 100 population,1.083
2002,per 100 population,1.2009999999999998
2003,per 100 population,2.648
2004,per 100 population,3.965
2005,per 100 population,15.469000000000001
2006,per 100 population,21.326999999999998
2007,per 100 population,25.122
2008,per 100 population,27.92
2009,per 100 population,34.66
2010,per 100 population,37.74
2011,per 100 population,42.75
2012,per 100 population,43.888000000000005
2013,per 100 population,45.065
2014,per 100 population,48.521
2015,per 100 population,49.918
2016,per 100 population,52.6
2017,per 100 population,60.257
2018,per 100 population,64.892
2019,per 100 population,70.12
