Year,SERIES,UNIT_MEASURE,Value
2000,DC_TOF_HLTHL,USD,9.0118
2001,DC_TOF_HLTHL,USD,5.3438300000000005
2002,DC_TOF_HLTHL,USD,5.43791
2003,DC_TOF_HLTHL,USD,9.14858
2004,DC_TOF_HLTHL,USD,4.5776900000000005
2005,DC_TOF_HLTHL,USD,4.83248
2006,DC_TOF_HLTHL,USD,18.164820000000002
2007,DC_TOF_HLTHL,USD,11.42505
2008,DC_TOF_HLTHL,USD,6.98618
2009,DC_TOF_HLTHL,USD,2.6198099999999998
2010,DC_TOF_HLTHL,USD,7.80168
2011,DC_TOF_HLTHL,USD,6.04845
2012,DC_TOF_HLTHL,USD,6.62092
2013,DC_TOF_HLTHL,USD,5.5622
2014,DC_TOF_HLTHL,USD,10.998330000000001
2015,DC_TOF_HLTHL,USD,5.19602
2016,DC_TOF_HLTHL,USD,37.98346
2017,DC_TOF_HLTHL,USD,36.070859999999996
2018,DC_TOF_HLTHL,USD,13.08596
