Year,Value,UNIT_MEASURE,SERIES
2000,101.23285,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2001,84.27593,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2002,9.611410000000001,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2003,12.457189999999999,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2004,38.93128,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2005,11.65837,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2006,11.78383,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2007,11.905999999999999,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2008,12.98218,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2009,19.31165,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2010,15.04609,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2011,17.418429999999997,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2012,19.4012,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2013,20.96925,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2014,17.95875,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2015,10.892560000000001,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2016,7.733410000000001,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2017,9.5384,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
2018,14.23957,USD,"Total official flows (disbursements) for agriculture, by recipient countries"
