Year,Value,UNIT_MEASURE,SERIES
2000,28.713852199999998,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2001,26.091817300000002,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2002,22.4884302,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2003,20.7660871,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2004,19.3767629,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2005,18.1568243,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2006,16.7042815,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2007,17.025509200000002,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2008,14.219122500000001,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2009,12.075921600000001,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2010,10.6091171,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2011,10.5028651,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2012,10.714178500000001,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2013,10.7708945,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2014,11.3541369,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2015,11.1100604,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2016,10.9144386,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2017,11.1540444,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
2018,10.5231356,Percent,Volume of remittances (in United States dollars) as a proportion of total GDP
