Year,Value,UNIT_MEASURE,SERIES
2000,101.23285,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2001,84.27593,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2002,9.611410000000001,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2003,12.457189999999999,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2004,38.93128,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2005,11.65837,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2006,11.78383,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2007,11.905999999999999,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2008,12.98218,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2009,19.31165,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2010,15.04609,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2011,17.418429999999997,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2012,19.4012,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2013,20.96925,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2014,17.95875,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2015,10.892560000000001,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2016,7.733410000000001,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2017,9.5384,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
2018,14.23957,Амерички долар,"Укупни званични токови (исплате) за пољопривреду, према земљама примаоцима"
