Year,Series,Units,Age,Sex,Value
2000,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,16.6
2001,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,17.4
2002,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,18.7
2003,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,17.4
2004,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,17.2
2005,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,16.5
2006,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,16.4
2007,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,15.2
2008,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,15.8
2009,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,14.8
2010,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,13.5
2011,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,12.2
2012,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,12.3
2013,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,11.0
2014,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,10.7
2015,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,10.5
2016,SP_DYN_ADKL,PER 1000 POPULATION,15-19,FEMALE,11.0
