Year,Series,Units,Sex,Age,Value
2006,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,31.11
2007,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,28.98
2008,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,23.41
2009,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,24.07
2010,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,27.31
2011,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,27.58
2012,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,28.01
2013,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,27.49
2014,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,27.52
2015,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,27.69
2016,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,25.41
2017,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,20.53
2018,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,18.4
2019,SL_TLF_UEM,% (PERCENT),BOTHSEX,15+,15.69
2006,SL_TLF_UEM,% (PERCENT),FEMALE,15+,34.86
2007,SL_TLF_UEM,% (PERCENT),FEMALE,15+,32.94
2008,SL_TLF_UEM,% (PERCENT),FEMALE,15+,26.78
2009,SL_TLF_UEM,% (PERCENT),FEMALE,15+,25.64
2010,SL_TLF_UEM,% (PERCENT),FEMALE,15+,29.93
2011,SL_TLF_UEM,% (PERCENT),FEMALE,15+,29.94
2012,SL_TLF_UEM,% (PERCENT),FEMALE,15+,30.66
2013,SL_TLF_UEM,% (PERCENT),FEMALE,15+,29.02
2014,SL_TLF_UEM,% (PERCENT),FEMALE,15+,31.17
2015,SL_TLF_UEM,% (PERCENT),FEMALE,15+,30.69
2016,SL_TLF_UEM,% (PERCENT),FEMALE,15+,30.05
2017,SL_TLF_UEM,% (PERCENT),FEMALE,15+,23.13
2018,SL_TLF_UEM,% (PERCENT),FEMALE,15+,20.33
2019,SL_TLF_UEM,% (PERCENT),FEMALE,15+,18.78
2006,SL_TLF_UEM,% (PERCENT),MALE,15+,28.92
2007,SL_TLF_UEM,% (PERCENT),MALE,15+,26.71
2008,SL_TLF_UEM,% (PERCENT),MALE,15+,21.4
2009,SL_TLF_UEM,% (PERCENT),MALE,15+,23.11
2010,SL_TLF_UEM,% (PERCENT),MALE,15+,25.68
2011,SL_TLF_UEM,% (PERCENT),MALE,15+,26.11
2012,SL_TLF_UEM,% (PERCENT),MALE,15+,26.37
2013,SL_TLF_UEM,% (PERCENT),MALE,15+,26.55
2014,SL_TLF_UEM,% (PERCENT),MALE,15+,25.18
2015,SL_TLF_UEM,% (PERCENT),MALE,15+,25.78
2016,SL_TLF_UEM,% (PERCENT),MALE,15+,22.53
2017,SL_TLF_UEM,% (PERCENT),MALE,15+,18.87
2018,SL_TLF_UEM,% (PERCENT),MALE,15+,17.21
2019,SL_TLF_UEM,% (PERCENT),MALE,15+,13.65
2006,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,62.31
2007,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,58.42
2008,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,47.53
2009,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,48.7
2010,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,57.72
2011,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,57.87
2012,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,63.11
2013,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,59.12
2014,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,62.66
2015,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,62.32
2016,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,54.31
2017,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,45.81
2018,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,38.82
2019,SL_TLF_UEM,% (PERCENT),BOTHSEX,15-24,33.79
2006,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,65.72
2007,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,63.12
2008,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,52.3
2009,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,52.72
2010,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,61.28
2011,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,60.46
2012,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,63.97
2013,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,59.2
2014,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,65.41
2015,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,67.34
2016,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,58.91
2017,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,51.36
2018,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,45.46
2019,SL_TLF_UEM,% (PERCENT),FEMALE,15-24,37.94
2006,SL_TLF_UEM,% (PERCENT),MALE,15-24,60.19
2007,SL_TLF_UEM,% (PERCENT),MALE,15-24,55.6
2008,SL_TLF_UEM,% (PERCENT),MALE,15-24,44.79
2009,SL_TLF_UEM,% (PERCENT),MALE,15-24,46.44
