Year,Series,Units,Value
2000,IT_USE_ii99,PER 100 POPULATION,1.083
2001,IT_USE_ii99,PER 100 POPULATION,1.201
2002,IT_USE_ii99,PER 100 POPULATION,2.648
2003,IT_USE_ii99,PER 100 POPULATION,3.965
2004,IT_USE_ii99,PER 100 POPULATION,15.469
2005,IT_USE_ii99,PER 100 POPULATION,21.327
2006,IT_USE_ii99,PER 100 POPULATION,25.122
2007,IT_USE_ii99,PER 100 POPULATION,27.92
2008,IT_USE_ii99,PER 100 POPULATION,34.66
2009,IT_USE_ii99,PER 100 POPULATION,37.74
2010,IT_USE_ii99,PER 100 POPULATION,42.75
2011,IT_USE_ii99,PER 100 POPULATION,43.888
2012,IT_USE_ii99,PER 100 POPULATION,45.065
2013,IT_USE_ii99,PER 100 POPULATION,48.521
2014,IT_USE_ii99,PER 100 POPULATION,49.918
2015,IT_USE_ii99,PER 100 POPULATION,52.6
2016,IT_USE_ii99,PER 100 POPULATION,60.257
2017,IT_USE_ii99,PER 100 POPULATION,64.892
2018,IT_USE_ii99,PER 100 POPULATION,70.12
