Year,Series,Sex,Value
2000,"number of victims of intentional homicide per 100,000 population, by sex",Female,1.04736
2001,"number of victims of intentional homicide per 100,000 population, by sex",Female,1.51733
2002,"number of victims of intentional homicide per 100,000 population, by sex",Female,1.30689
2009,"number of victims of intentional homicide per 100,000 population, by sex",Female,0.789
2010,"number of victims of intentional homicide per 100,000 population, by sex",Female,0.53024
2011,"number of victims of intentional homicide per 100,000 population, by sex",Female,0.85845
2012,"number of victims of intentional homicide per 100,000 population, by sex",Female,1.30739
2013,"number of victims of intentional homicide per 100,000 population, by sex",Female,0.77581
2014,"number of victims of intentional homicide per 100,000 population, by sex",Female,0.61995
2015,"number of victims of intentional homicide per 100,000 population, by sex",Female,1.02974
2016,"number of victims of intentional homicide per 100,000 population, by sex",Female,0.86879
2017,"number of victims of intentional homicide per 100,000 population, by sex",Female,0.58505
2018,"number of victims of intentional homicide per 100,000 population, by sex",Female,0.47182
2000,"number of victims of intentional homicide per 100,000 population, by sex",Male,4.28972
2001,"number of victims of intentional homicide per 100,000 population, by sex",Male,2.87378
2002,"number of victims of intentional homicide per 100,000 population, by sex",Male,3.52028
2009,"number of victims of intentional homicide per 100,000 population, by sex",Male,3.0521
2010,"number of victims of intentional homicide per 100,000 population, by sex",Male,2.52812
2011,"number of victims of intentional homicide per 100,000 population, by sex",Male,1.9473
2012,"number of victims of intentional homicide per 100,000 population, by sex",Male,2.20433
2013,"number of victims of intentional homicide per 100,000 population, by sex",Male,1.84115
2014,"number of victims of intentional homicide per 100,000 population, by sex",Male,2.28369
2015,"number of victims of intentional homicide per 100,000 population, by sex",Male,2.31957
2016,"number of victims of intentional homicide per 100,000 population, by sex",Male,1.80753
2017,"number of victims of intentional homicide per 100,000 population, by sex",Male,1.94852
2018,"number of victims of intentional homicide per 100,000 population, by sex",Male,1.90374
2000,"number of victims of intentional homicide, by sex",Female,20
2001,"number of victims of intentional homicide, by sex",Female,29
2002,"number of victims of intentional homicide, by sex",Female,25
2009,"number of victims of intentional homicide, by sex",Female,15
2010,"number of victims of intentional homicide, by sex",Female,10
2011,"number of victims of intentional homicide, by sex",Female,16
2012,"number of victims of intentional homicide, by sex",Female,24
2013,"number of victims of intentional homicide, by sex",Female,14
2014,"number of victims of intentional homicide, by sex",Female,11
2015,"number of victims of intentional homicide, by sex",Female,18
2016,"number of victims of intentional homicide, by sex",Female,15
2017,"number of victims of intentional homicide, by sex",Female,10
2018,"number of victims of intentional homicide, by sex",Female,8
2000,"number of victims of intentional homicide, by sex",Male,79
2001,"number of victims of intentional homicide, by sex",Male,53
2002,"number of victims of intentional homicide, by sex",Male,65
2009,"number of victims of intentional homicide, by sex",Male,56
2010,"number of victims of intentional homicide, by sex",Male,46
2011,"number of victims of intentional homicide, by sex",Male,35
2012,"number of victims of intentional homicide, by sex",Male,39
2013,"number of victims of intentional homicide, by sex",Male,32
2014,"number of victims of intentional homicide, by sex",Male,39
2015,"number of victims of intentional homicide, by sex",Male,39
2016,"number of victims of intentional homicide, by sex",Male,30
2017,"number of victims of intentional homicide, by sex",Male,32
2018,"number of victims of intentional homicide, by sex",Male,31
