Year,Series,Units,Location,Value
2000,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.66104
2001,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.59606
2002,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.53138
2003,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.46701
2004,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.40296
2005,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.33923
2006,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.27581
2007,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.21271
2008,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.14993
2009,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.08747
2010,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.02532
2011,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.0
2012,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.0
2013,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.0
2014,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.0
2015,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.0
2016,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.0
2017,SH_SAN_DEFECT,% (PERCENT),ALL AREA,0.0
2000,SH_SAN_DEFECT,% (PERCENT),RURAL,0.87296
2001,SH_SAN_DEFECT,% (PERCENT),RURAL,0.7882
2002,SH_SAN_DEFECT,% (PERCENT),RURAL,0.70343
2003,SH_SAN_DEFECT,% (PERCENT),RURAL,0.61867
2004,SH_SAN_DEFECT,% (PERCENT),RURAL,0.53391
2005,SH_SAN_DEFECT,% (PERCENT),RURAL,0.44914
2006,SH_SAN_DEFECT,% (PERCENT),RURAL,0.36438
2007,SH_SAN_DEFECT,% (PERCENT),RURAL,0.27961
2008,SH_SAN_DEFECT,% (PERCENT),RURAL,0.19485
2009,SH_SAN_DEFECT,% (PERCENT),RURAL,0.11009
2010,SH_SAN_DEFECT,% (PERCENT),RURAL,0.02532
2011,SH_SAN_DEFECT,% (PERCENT),RURAL,0.0
2012,SH_SAN_DEFECT,% (PERCENT),RURAL,0.0
2013,SH_SAN_DEFECT,% (PERCENT),RURAL,0.0
2014,SH_SAN_DEFECT,% (PERCENT),RURAL,0.0
2015,SH_SAN_DEFECT,% (PERCENT),RURAL,0.0
2016,SH_SAN_DEFECT,% (PERCENT),RURAL,0.0
2017,SH_SAN_DEFECT,% (PERCENT),RURAL,0.0
2000,SH_SAN_DEFECT,% (PERCENT),URBAN,0.37296
2001,SH_SAN_DEFECT,% (PERCENT),URBAN,0.3382
2002,SH_SAN_DEFECT,% (PERCENT),URBAN,0.30343
2003,SH_SAN_DEFECT,% (PERCENT),URBAN,0.26867
2004,SH_SAN_DEFECT,% (PERCENT),URBAN,0.23391
2005,SH_SAN_DEFECT,% (PERCENT),URBAN,0.19914
2006,SH_SAN_DEFECT,% (PERCENT),URBAN,0.16438
