Year,Series,Units,Age,Sex,Name of non-communicable disease,Value
2000,SH_DTH_NCOM,% (PERCENT),30-70,BOTHSEX,,24.4
2005,SH_DTH_NCOM,% (PERCENT),30-70,BOTHSEX,,22.8
2010,SH_DTH_NCOM,% (PERCENT),30-70,BOTHSEX,,20.9
2015,SH_DTH_NCOM,% (PERCENT),30-70,BOTHSEX,,18.2
2016,SH_DTH_NCOM,% (PERCENT),30-70,BOTHSEX,,17.8
2000,SH_DTH_NCOM,% (PERCENT),30-70,FEMALE,,18.8
2005,SH_DTH_NCOM,% (PERCENT),30-70,FEMALE,,17.2
2010,SH_DTH_NCOM,% (PERCENT),30-70,FEMALE,,15.7
2015,SH_DTH_NCOM,% (PERCENT),30-70,FEMALE,,13.2
2016,SH_DTH_NCOM,% (PERCENT),30-70,FEMALE,,12.9
2000,SH_DTH_NCOM,% (PERCENT),30-70,MALE,,30.5
2005,SH_DTH_NCOM,% (PERCENT),30-70,MALE,,28.8
2010,SH_DTH_NCOM,% (PERCENT),30-70,MALE,,26.6
2015,SH_DTH_NCOM,% (PERCENT),30-70,MALE,,23.6
2016,SH_DTH_NCOM,% (PERCENT),30-70,MALE,,23.1
2000,SH_DTH_RNCOM,NUMBER,,BOTHSEX,CAN,4952.0
2005,SH_DTH_RNCOM,NUMBER,,BOTHSEX,CAN,5983.0
2010,SH_DTH_RNCOM,NUMBER,,BOTHSEX,CAN,6617.0
2015,SH_DTH_RNCOM,NUMBER,,BOTHSEX,CAN,7212.0
2016,SH_DTH_RNCOM,NUMBER,,BOTHSEX,CAN,7262.0
2000,SH_DTH_RNCOM,NUMBER,,FEMALE,CAN,2035.0
2005,SH_DTH_RNCOM,NUMBER,,FEMALE,CAN,2490.0
2010,SH_DTH_RNCOM,NUMBER,,FEMALE,CAN,2726.0
2015,SH_DTH_RNCOM,NUMBER,,FEMALE,CAN,2955.0
2016,SH_DTH_RNCOM,NUMBER,,FEMALE,CAN,2955.0
2000,SH_DTH_RNCOM,NUMBER,,BOTHSEX,CAR,17774.0
2005,SH_DTH_RNCOM,NUMBER,,BOTHSEX,CAR,19965.0
2010,SH_DTH_RNCOM,NUMBER,,BOTHSEX,CAR,20095.0
2015,SH_DTH_RNCOM,NUMBER,,BOTHSEX,CAR,20044.0
2016,SH_DTH_RNCOM,NUMBER,,BOTHSEX,CAR,20279.0
2000,SH_DTH_RNCOM,NUMBER,,FEMALE,CAR,9160.0
2005,SH_DTH_RNCOM,NUMBER,,FEMALE,CAR,10313.0
2010,SH_DTH_RNCOM,NUMBER,,FEMALE,CAR,10777.0
2015,SH_DTH_RNCOM,NUMBER,,FEMALE,CAR,10809.0
2016,SH_DTH_RNCOM,NUMBER,,FEMALE,CAR,10982.0
2000,SH_DTH_RNCOM,NUMBER,,BOTHSEX,DIA,1021.0
2005,SH_DTH_RNCOM,NUMBER,,BOTHSEX,DIA,2025.0
2010,SH_DTH_RNCOM,NUMBER,,BOTHSEX,DIA,2522.0
