Year,Series,Units,Value
2010,ER_GRF_ANIMRCNTN,NUMBER,0.0
2011,ER_GRF_ANIMRCNTN,NUMBER,0.0
2012,ER_GRF_ANIMRCNTN,NUMBER,0.0
2013,ER_GRF_ANIMRCNTN,NUMBER,0.0
2014,ER_GRF_ANIMRCNTN,NUMBER,0.0
2015,ER_GRF_ANIMRCNTN,NUMBER,0.0
2016,ER_GRF_ANIMRCNTN,NUMBER,0.0
2017,ER_GRF_ANIMRCNTN,NUMBER,0.0
2018,ER_GRF_ANIMRCNTN,NUMBER,0.0
2019,ER_GRF_ANIMRCNTN,NUMBER,0.0
2000,ER_GRF_PLNTSTOR,NUMBER,62.0
2005,ER_GRF_PLNTSTOR,NUMBER,64.0
2010,ER_GRF_PLNTSTOR,NUMBER,211.0
2012,ER_GRF_PLNTSTOR,NUMBER,434.0
2014,ER_GRF_PLNTSTOR,NUMBER,434.0
2016,ER_GRF_PLNTSTOR,NUMBER,434.0
2017,ER_GRF_PLNTSTOR,NUMBER,479.0
2018,ER_GRF_PLNTSTOR,NUMBER,479.0
2019,ER_GRF_PLNTSTOR,NUMBER,479.0
