Year,Series,Units,Value
2000,SH_TBS_INCID,PER 100000 POPULATION,83
2001,SH_TBS_INCID,PER 100000 POPULATION,82
2002,SH_TBS_INCID,PER 100000 POPULATION,56
2003,SH_TBS_INCID,PER 100000 POPULATION,59
2004,SH_TBS_INCID,PER 100000 POPULATION,78
2005,SH_TBS_INCID,PER 100000 POPULATION,70
2006,SH_TBS_INCID,PER 100000 POPULATION,59
2007,SH_TBS_INCID,PER 100000 POPULATION,79
2008,SH_TBS_INCID,PER 100000 POPULATION,57
2009,SH_TBS_INCID,PER 100000 POPULATION,58
2010,SH_TBS_INCID,PER 100000 POPULATION,45
2011,SH_TBS_INCID,PER 100000 POPULATION,46
2012,SH_TBS_INCID,PER 100000 POPULATION,49
2013,SH_TBS_INCID,PER 100000 POPULATION,44
2014,SH_TBS_INCID,PER 100000 POPULATION,43
2015,SH_TBS_INCID,PER 100000 POPULATION,40
2016,SH_TBS_INCID,PER 100000 POPULATION,33
2017,SH_TBS_INCID,PER 100000 POPULATION,29
2018,SH_TBS_INCID,PER 100000 POPULATION,25
