Year,Series,Units,Value
2003,GC_GOB_TAXD,% (PERCENT),83.47171
2004,GC_GOB_TAXD,% (PERCENT),86.24788
2005,GC_GOB_TAXD,% (PERCENT),59.63647
2006,GC_GOB_TAXD,% (PERCENT),61.56456
2007,GC_GOB_TAXD,% (PERCENT),57.82445
2008,GC_GOB_TAXD,% (PERCENT),51.96723
2009,GC_GOB_TAXD,% (PERCENT),46.89452
2010,GC_GOB_TAXD,% (PERCENT),49.15388
2011,GC_GOB_TAXD,% (PERCENT),51.64659
2012,GC_GOB_TAXD,% (PERCENT),50.37305
2013,GC_GOB_TAXD,% (PERCENT),49.38217
2014,GC_GOB_TAXD,% (PERCENT),48.5627
2015,GC_GOB_TAXD,% (PERCENT),53.03225
2016,GC_GOB_TAXD,% (PERCENT),54.53435
2017,GC_GOB_TAXD,% (PERCENT),56.92052
2018,GC_GOB_TAXD,% (PERCENT),56.81212
